"rho","u","v","p","Mach","T","Points:0","Points:1","Points:2"
1.2006,34.55,14.808,1.0166e+05,0.10922,294.97,0.02502,0.031298,0
1.1994,36.643,13.559,1.0151e+05,0.11354,294.84,0.033251,0.034722,0
1.1985,38.29,12.287,1.014e+05,0.11687,294.73,0.042497,0.037997,0
1.1978,39.595,11.042,1.0131e+05,0.11947,294.65,0.052829,0.04114,0
1.1972,40.632,9.8492,1.0124e+05,0.12153,294.59,0.064321,0.044158,0
1.1967,41.458,8.7146,1.0118e+05,0.12315,294.55,0.077053,0.047048,0
1.1963,42.113,7.6406,1.0114e+05,0.12442,294.51,0.091103,0.049798,0
1.196,42.628,6.623,1.011e+05,0.12541,294.48,0.10655,0.05239,0
1.1957,43.024,5.6594,1.0107e+05,0.12616,294.46,0.12346,0.054802,0
1.1955,43.319,4.7502,1.0105e+05,0.12669,294.44,0.14189,0.057008,0
1.1954,43.526,3.8895,1.0103e+05,0.12705,294.43,0.1619,0.058978,0
1.1952,43.655,3.0767,1.0101e+05,0.12723,294.42,0.18351,0.060682,0
1.1951,43.716,2.3132,1.01e+05,0.12728,294.41,0.20675,0.06209,0
1.1951,43.718,1.5983,1.01e+05,0.12719,294.41,0.2316,0.063174,0
1.195,43.667,0.93061,1.0099e+05,0.12698,294.41,0.25802,0.063909,0
1.195,43.57,0.30994,1.0099e+05,0.12667,294.42,0.28595,0.064274,0
1.195,43.433,-0.26199,1.0099e+05,0.12627,294.42,0.31531,0.064257,0
1.195,43.262,-0.78557,1.01e+05,0.12579,294.43,0.34596,0.063853,0
1.195,43.066,-1.2621,1.0101e+05,0.12525,294.45,0.37775,0.063064,0
1.1951,42.848,-1.6929,1.0101e+05,0.12466,294.46,0.4105,0.061903,0
1.1951,42.615,-2.0793,1.0102e+05,0.12403,294.47,0.444,0.06039,0
1.1952,42.371,-2.4245,1.0104e+05,0.12337,294.49,0.47803,0.058554,0
1.1953,42.12,-2.7314,1.0105e+05,0.12269,294.5,0.51234,0.056428,0
1.1954,41.867,-3.0034,1.0106e+05,0.12201,294.52,0.54668,0.054053,0
1.1955,41.613,-3.2451,1.0107e+05,0.12132,294.54,0.58081,0.05147,0
1.1956,41.359,-3.4589,1.0109e+05,0.12063,294.55,0.61447,0.048724,0
1.1957,41.108,-3.6499,1.011e+05,0.11995,294.57,0.64745,0.045858,0
1.1958,40.857,-3.8216,1.0111e+05,0.11926,294.58,0.67951,0.042914,0
1.1959,40.607,-3.9745,1.0113e+05,0.11858,294.6,0.71049,0.039932,0
1.196,40.358,-4.1128,1.0114e+05,0.1179,294.61,0.74022,0.036947,0
1.1961,40.107,-4.24,1.0115e+05,0.11721,294.62,0.76856,0.033993,0
1.1962,39.852,-4.3551,1.0116e+05,0.1165,294.63,0.79543,0.031096,0
1.1963,39.592,-4.4591,1.0118e+05,0.11579,294.64,0.82075,0.028281,0
1.1964,39.324,-4.5558,1.0119e+05,0.11504,294.64,0.84447,0.025568,0
1.1965,39.046,-4.6429,1.012e+05,0.11427,294.64,0.8666,0.022973,0
1.1966,38.755,-4.7201,1.0121e+05,0.11346,294.64,0.88714,0.020509,0
1.1967,38.446,-4.7921,1.0122e+05,0.11259,294.64,0.90612,0.018183,0
1.1969,38.113,-4.853,1.0123e+05,0.11165,294.63,0.92358,0.016001,0
1.197,37.747,-4.9038,1.0123e+05,0.11062,294.62,0.9396,0.013967,0
