"rho","u","v","p","Mach","T","Points:0","Points:1","Points:2"
1.0854,649.23,-0.39713,96168,1.8435,308.69,5.6,0.6225,0
1.0821,650.28,-0.28353,95770,1.8475,308.34,5.7,0.6225,0
1.0788,651.35,-0.19981,95362,1.8516,307.98,5.8,0.6225,0
1.0754,652.43,-0.14642,94950,1.8558,307.62,5.9,0.6225,0
1.072,653.51,-0.11966,94540,1.8599,307.26,6,0.6225,0
1.0686,654.59,-0.11418,94137,1.8641,306.91,6.1,0.6225,0
1.0653,655.67,-0.12435,93743,1.8682,306.57,6.2,0.6225,0
1.0621,656.73,-0.14509,93358,1.8722,306.24,6.3,0.6225,0
1.059,657.78,-0.17213,92985,1.8762,305.92,6.4,0.6225,0
1.0559,658.82,-0.20213,92623,1.8801,305.6,6.5,0.6225,0
1.053,659.84,-0.23265,92270,1.884,305.3,6.6,0.6225,0
1.0501,660.86,-0.26202,91927,1.8878,305.01,6.7,0.6225,0
1.0472,661.87,-0.28923,91592,1.8916,304.72,6.8,0.6225,0
1.0445,662.88,-0.31379,91264,1.8953,304.43,6.9,0.6225,0
1.0417,663.87,-0.33557,90942,1.899,304.16,7,0.6225,0
1.039,664.87,-0.35474,90627,1.9027,303.88,7.1,0.6225,0
1.0364,665.86,-0.37164,90317,1.9064,303.61,7.2,0.6225,0
1.0338,666.84,-0.38665,90014,1.91,303.35,7.3,0.6225,0
1.0313,667.81,-0.40019,89718,1.9136,303.09,7.4,0.6225,0
1.0289,668.76,-0.41262,89432,1.9171,302.84,7.5,0.6225,0
1.0265,669.69,-0.42416,89158,1.9206,302.6,7.6,0.6225,0
1.0243,670.58,-0.43493,88900,1.9238,302.38,7.7,0.6225,0
1.0223,671.43,-0.44486,88662,1.9269,302.17,7.8,0.6225,0
1.0204,672.21,-0.45373,88450,1.9298,301.99,7.9,0.6225,0
1.0189,672.92,-0.46114,88267,1.9323,301.83,8,0.6225,0
1.0176,673.54,-0.46654,88121,1.9345,301.71,8.1,0.6225,0
1.0166,674.04,-0.46926,88018,1.9361,301.63,8.2,0.6225,0
1.0161,674.4,-0.46855,87963,1.9373,301.6,8.3,0.6225,0
1.0161,674.62,-0.46365,87964,1.9379,301.62,8.4,0.6225,0
1.0165,674.66,-0.45386,88025,1.9377,301.7,8.5,0.6225,0
1.0175,674.52,-0.43858,88150,1.9369,301.83,8.6,0.6225,0
1.019,674.19,-0.41749,88341,1.9353,302.04,8.7,0.6225,0
1.0211,673.67,-0.39054,88600,1.9329,302.3,8.8,0.6225,0
1.0237,672.95,-0.35806,88925,1.9298,302.63,8.9,0.6225,0
1.0269,672.05,-0.32079,89312,1.926,303.02,9,0.6225,0
1.0305,671,-0.27986,89753,1.9216,303.45,9.1,0.6225,0
1.0344,669.8,-0.23671,90240,1.9167,303.92,9.2,0.6225,0
1.0387,668.5,-0.19299,90762,1.9114,304.43,9.3,0.6225,0
1.0432,667.13,-0.15042,91308,1.9058,304.95,9.4,0.6225,0
1.0477,665.72,-0.11064,91866,1.9002,305.48,9.5,0.6225,0
1.0523,664.3,-0.075089,92425,1.8945,306.01,9.6,0.6225,0
1.0568,662.91,-0.044949,92975,1.8889,306.52,9.7,0.6225,0
1.0611,661.56,-0.021137,93508,1.8836,307.02,9.8,0.6225,0
1.0653,660.27,-0.0046322,94019,1.8785,307.49,9.9,0.6225,0
1.0673,659.65,0.001648,94268,1.876,307.72,10,0.6225,0
1.2041,660,0,1.0132e+05,1.9229,293.15,0,0.2,0
1.2041,660,0,1.0132e+05,1.9229,293.15,0.1,0.2,0
1.2041,660,0,1.0132e+05,1.9229,293.15,0.2,0.2,0
1.2041,660,0,1.0132e+05,1.9229,293.15,0.3,0.2,0
1.2041,660,0,1.0132e+05,1.9229,293.15,0.4,0.2,0
1.2041,660,0,1.0132e+05,1.9229,293.15,0.5,0.2,0
1.2041,660,0,1.0132e+05,1.9229,293.15,0.6,0.2,0
1.2041,660,0,1.0132e+05,1.9229,293.15,0.7,0.2,0
1.2041,660,-5e-07,1.0132e+05,1.9229,293.15,0.8,0.2,0
1.2041,660,-1.25e-06,1.0133e+05,1.9229,293.15,0.9,0.2,0
1.2041,660,-2.75e-06,1.0133e+05,1.9229,293.15,1,0.2,0
1.2041,660,-5.75e-06,1.0133e+05,1.9229,293.15,1.1,0.2,0
1.2041,660,4.5475e-13,1.0133e+05,1.9229,293.15,1.2,0.2,0
1.2041,660,7.775e-05,1.0133e+05,1.9229,293.15,1.3,0.2,0
1.2041,659.99,0.0005575,1.0133e+05,1.9228,293.16,1.4,0.2,0
1.2041,659.98,0.0029723,1.0134e+05,1.9227,293.2,1.5,0.2,0
1.2042,659.92,0.013932,1.0139e+05,1.9221,293.31,1.6,0.2,0
1.2044,659.74,0.060608,1.0153e+05,1.9204,293.68,1.7,0.2,0
1.2052,659.13,0.25153,1.0201e+05,1.9148,294.87,1.8,0.2,0
1.2078,657.19,1.0219,1.0356e+05,1.897,298.69,1.9,0.2,0
1.2443,647.9,8.9928,1.0999e+05,1.8436,307.69,2,0.2,0
1.3467,626.43,29.631,1.2462e+05,1.7466,321.65,2.1,0.22546,0
1.5045,596,58.325,1.462e+05,1.6291,337.53,2.2,0.25091,0
1.6836,563.38,86.978,1.707e+05,1.5176,352.34,2.3,0.27637,0
