"rho","u","v","p","Mach","T","Points:0","Points:1","Points:2"
1.1772,68.601,7.065,99328,0.20091,293.93,-0.10833,1.0307,0
1.1756,69.266,0.14824,99131,0.20185,293.76,-0,1.0364,0
1.1744,68.431,-6.7527,98999,0.20042,293.66,0.10833,1.0307,0
1.1738,66.137,-13.323,98934,0.19665,293.63,0.21548,1.0138,0
1.1736,62.492,-19.264,98932,0.1906,293.66,0.32026,0.98567,0
1.174,57.669,-24.31,98989,0.18238,293.75,0.42154,0.9468,0
1.1746,51.892,-28.239,99095,0.17212,293.89,0.5182,0.89755,0
1.1756,45.427,-30.884,99242,0.15998,294.08,0.60918,0.83846,0
1.1768,38.567,-32.141,99417,0.14616,294.3,0.69349,0.7702,0
1.1781,31.618,-31.971,99609,0.13085,294.55,0.7702,0.69349,0
1.1794,24.886,-30.398,99807,0.11427,294.8,0.83846,0.60918,0
1.1807,18.657,-27.511,99999,0.096637,295.06,0.89755,0.5182,0
1.1818,13.191,-23.459,1.0017e+05,0.078202,295.29,0.9468,0.42154,0
1.1826,8.7093,-18.436,1.0032e+05,0.059214,295.52,0.98567,0.32026,0
1.183,5.3837,-12.679,1.0044e+05,0.039984,295.78,1.0138,0.21548,0
1.1826,3.3335,-6.4491,1.0052e+05,0.021272,296.12,1.0307,0.10833,0
1.1821,2.6386,-3.2497,1.0055e+05,0.01219,296.32,1.0364,0,0
1.1828,3.6453,3.1017,1.006e+05,0.013919,296.29,1.0537,0,0
1.1833,4.3163,6.155,1.0057e+05,0.022165,296.09,1.0479,-0.11014,0
1.1838,6.29,12.103,1.0049e+05,0.039607,295.73,1.0307,-0.21907,0
1.1836,9.4848,17.608,1.0038e+05,0.058082,295.46,1.0021,-0.32561,0
1.1829,13.791,22.424,1.0024e+05,0.076495,295.2,0.96258,-0.42857,0
1.182,19.048,26.324,1.0007e+05,0.094471,294.94,0.91251,-0.52684,0
1.1809,25.049,29.117,99883,0.11173,294.66,0.85245,-0.61934,0
1.1797,31.546,30.657,99692,0.12803,294.38,0.78304,-0.70505,0
1.1786,38.262,30.851,99505,0.14313,294.11,0.70505,-0.78304,0
1.1776,44.903,29.669,99335,0.15679,293.87,0.61934,-0.85245,0
1.1767,51.17,27.146,99193,0.16882,293.67,0.52684,-0.91251,0
1.1761,56.778,23.379,99089,0.179,293.51,0.42857,-0.96258,0
1.1758,61.465,18.527,99033,0.18718,293.41,0.32561,-1.0021,0
1.176,65.013,12.804,99033,0.19322,293.36,0.21907,-1.0307,0
1.1766,67.254,6.4682,99094,0.19701,293.39,0.11014,-1.0479,0
1.1778,68.081,-0.1919,99220,0.19849,293.48,0,-1.0537,0
1.1794,67.456,-6.8709,99410,0.19763,293.63,-0.11014,-1.0479,0
1.1815,65.407,-13.262,99662,0.19445,293.85,-0.21907,-1.0307,0
1.1841,62.033,-19.074,99969,0.189,294.12,-0.32561,-1.0021,0
1.187,57.491,-24.042,1.0032e+05,0.18138,294.43,-0.42857,-0.96258,0
1.1902,51.992,-27.944,1.0071e+05,0.1717,294.79,-0.52684,-0.91251,0
1.1935,45.788,-30.61,1.0112e+05,0.16011,295.16,-0.61934,-0.85245,0
1.1969,39.158,-31.925,1.0154e+05,0.14677,295.54,-0.70505,-0.78304,0
1.2002,32.401,-31.839,1.0195e+05,0.13188,295.91,-0.78304,-0.70505,0
1.2034,25.813,-30.362,1.0234e+05,0.11562,296.27,-0.85245,-0.61934,0
1.2062,19.683,-27.568,1.0269e+05,0.098209,296.59,-0.91251,-0.52684,0
1.2086,14.272,-23.587,1.03e+05,0.079882,296.87,-0.96258,-0.42857,0
1.2106,9.8114,-18.6,1.0324e+05,0.0609,297.1,-1.0021,-0.32561,0
1.212,6.4844,-12.834,1.0342e+05,0.041639,297.27,-1.0307,-0.21907,0
1.2128,4.4241,-6.5445,1.0353e+05,0.023224,297.37,-1.0479,-0.11014,0
1.2131,3.7237,-0.00014126,1.0356e+05,0.01445,297.4,-1.0537,-0,0
1.2128,4.4241,6.5442,1.0353e+05,0.023223,297.37,-1.0479,0.11014,0
1.212,6.4843,12.833,1.0342e+05,0.041639,297.27,-1.0307,0.21907,0
1.2106,9.8113,18.6,1.0324e+05,0.060899,297.1,-1.0021,0.32561,0
1.2086,14.272,23.586,1.03e+05,0.079881,296.87,-0.96258,0.42857,0
1.2062,19.682,27.567,1.0269e+05,0.098208,296.59,-0.91251,0.52684,0
1.2034,25.813,30.362,1.0234e+05,0.11562,296.27,-0.85245,0.61934,0
1.2002,32.401,31.839,1.0195e+05,0.13187,295.92,-0.78304,0.70505,0
1.1969,39.158,31.925,1.0154e+05,0.14677,295.54,-0.70505,0.78304,0
1.1935,45.787,30.61,1.0112e+05,0.1601,295.16,-0.61934,0.85245,0
