"rho","u","v","p","Mach","T","Points:0","Points:1","Points:2"
0.17525,-38.619,27.27,21535,0.114,428.09,-5.4,4.9,0
0.17599,-26.578,18.515,21680,0.078007,429.14,-5.175,4.7375,0
0.17634,-13.893,9.3342,21753,0.040287,429.74,-4.95,4.575,0
0.17628,-1.1549,0.14441,21757,0.018792,429.97,-4.725,4.4125,0
0.17586,11.246,-8.7832,21703,0.034342,429.9,-4.5,4.25,0
0.17525,23.179,-17.376,21611,0.069725,429.59,-4.275,4.0875,0
0.17451,34.822,-25.774,21498,0.10432,429.15,-4.05,3.925,0
0.1736,46.446,-34.169,21356,0.13895,428.57,-3.825,3.7625,0
0.17245,58.162,-42.626,21175,0.17393,427.76,-3.6,3.6,0
0.17103,69.859,-51.056,20948,0.20897,426.67,-3.375,3.4375,0
0.1694,81.303,-59.29,20682,0.24341,425.31,-3.15,3.275,0
0.16762,92.287,-67.184,20390,0.27663,423.76,-2.925,3.1125,0
0.16575,102.65,-74.617,20082,0.30815,422.06,-2.7,2.95,0
0.16383,112.14,-81.406,19764,0.3372,420.25,-2.475,2.7875,0
0.16196,120.33,-87.239,19452,0.36247,418.41,-2.25,2.625,0
0.16026,126.64,-91.679,19169,0.38206,416.7,-2.025,2.4625,0
0.15892,130.37,-94.228,18946,0.39374,415.32,-1.8,2.3,0
0.15809,130.86,-94.41,18811,0.39534,414.52,-1.575,2.1375,0
0.1578,127.54,-91.814,18772,0.38508,414.41,-1.35,1.975,0
0.15786,119.6,-85.804,18808,0.36041,415.06,-1.125,1.8125,0
0.1575,104.89,-74.701,18851,0.31464,416.95,-0.9,1.65,0
0.15364,77.98,-54.265,18726,0.23038,424.74,-0.675,1.4875,0
0.13662,24.095,-12.833,17852,0.11001,457.89,-0.45,1.325,0
0.10762,-96.892,96.826,14294,0.32706,459.06,-0.225,1.1625,0
0.092199,-181.47,178.36,11473,0.60962,433.5,0,1,0
0.21319,-3.2317,304.58,26954,0.72382,440.66,0.008774,1.0046,0
0.22323,-2.6191,267.27,28865,0.62938,450.27,0.009932,0.75007,0
0.24207,-2.2094,200.85,32534,0.46374,468.17,0.010032,0.5,0
0.2587,-2.8915,138.86,36114,0.31501,486.33,0.010035,0.25,0
0.27219,-4.6486,56.746,40545,0.12907,518.91,0.010035,0,0
0.27524,-4.8054,-42.14,40926,0.11333,518.2,0.010035,-0.25,0
0.26428,-3.4191,-129.05,36949,0.2925,487.03,0.010032,-0.5,0
0.2453,-3.8276,-212.46,33051,0.49061,469.11,0.009932,-0.75007,0
0.17346,-104.83,-220.96,22362,0.63246,443.93,0.008774,-1.0046,0
0.12211,-142.56,-124.12,16023,0.44849,455.05,-0.21915,-1.1705,0
0.13851,-41.393,-35.635,19072,0.12867,479.76,-0.44414,-1.3331,0
0.15366,20.894,11.562,20142,0.075335,457.81,-0.66914,-1.4956,0
0.16444,60.257,41.239,20384,0.17561,431.91,-0.89414,-1.6581,0
0.16688,86.366,60.9,20352,0.25583,424.84,-1.1191,-1.8206,0
0.16698,103.75,73.983,20242,0.30933,422.3,-1.3441,-1.9831,0
0.16672,114.87,82.382,20152,0.34363,421.08,-1.5691,-2.1456,0
0.16676,121.02,87.121,20140,0.36265,420.73,-1.7941,-2.3081,0
0.16733,122.89,88.72,20230,0.36841,421.16,-2.0191,-2.4706,0
0.16848,120.96,87.552,20422,0.36248,422.27,-2.2441,-2.6331,0
0.17012,115.82,84.026,20700,0.3467,423.88,-2.4691,-2.7956,0
0.17208,108.14,78.629,21029,0.32325,425.73,-2.6941,-2.9581,0
0.17414,98.635,71.88,21375,0.29443,427.59,-2.9191,-3.1206,0
0.17616,87.978,64.259,21708,0.2623,429.3,-3.1441,-3.2831,0
0.178,76.69,56.153,22010,0.22846,430.76,-3.3691,-3.4456,0
0.17963,65.131,47.829,22272,0.19395,431.95,-3.5941,-3.6081,0
0.18101,53.523,39.456,22491,0.15943,432.86,-3.8191,-3.7706,0
0.18214,41.994,31.13,22666,0.12524,433.53,-4.0441,-3.9331,0
0.18304,30.573,22.882,22802,0.091443,433.97,-4.2691,-4.0956,0
0.18376,19.191,14.667,22905,0.057822,434.23,-4.4941,-4.2581,0
0.18432,7.7133,6.3924,22978,0.024116,434.28,-4.7191,-4.4206,0
0.18465,-3.9327,-2.0049,23012,0.017518,434.16,-4.9441,-4.5831,0
0.18466,-15.658,-10.474,22997,0.045132,433.85,-5.1691,-4.7456,0
0.18435,-27.243,-18.863,22928,0.079426,433.27,-5.3941,-4.9081,0
0.18374,-38.357,-26.943,22805,0.11247,432.37,-5.6191,-5.0706,0
0.18291,-48.662,-34.458,22643,0.14325,431.26,-5.8441,-5.2331,0
0.182,-58.033,-41.296,22468,0.17134,430.08,-6.0691,-5.3956,0
0.18106,-66.565,-47.516,22292,0.19701,428.9,-6.2941,-5.5581,0
0.18015,-74.47,-53.263,22121,0.22084,427.77,-6.5191,-5.7206,0
0.17925,-82.036,-58.744,21954,0.24368,426.67,-6.7441,-5.8831,0
0.17835,-89.592,-64.193,21788,0.26652,425.58,-6.9691,-6.0456,0
0.17739,-97.512,-69.879,21613,0.29048,424.45,-7.1941,-6.2081,0
0.17627,-106.19,-76.09,21413,0.3168,423.19,-7.4191,-6.3706,0
0.17485,-115.97,-83.079,21164,0.34657,421.67,-7.6441,-6.5331,0
0.17293,-126.95,-90.944,20834,0.38027,419.7,-7.8691,-6.6956,0
0.17011,-138.21,-99.139,20359,0.41556,416.92,-8.0941,-6.8581,0
0.16508,-143.69,-103.9,19591,0.43503,413.39,-8.3191,-7.0206,0
0.14974,-114.87,-87.568,18007,0.353,419.6,-8.5441,-7.1831,0
0.11461,46.771,2.2096,13652,0.37834,411.71,-8.7692,-7.3456,0
0.14165,271.14,37.928,15113,0.72121,378.01,-8.9969,-7.5091,0
0.18571,372.87,0.40646,18918,0.98928,354.87,-9.25,-7.51,0
0.17139,400.41,0.13213,16872,1.0812,342.82,-9.5,-7.51,0
0.15425,435.65,0.73732,14567,1.201,328.75,-9.75,-7.51,0
0.13706,468.08,1.1578,12374,1.3196,314.26,-10,-7.51,0
0.12253,493.71,0.39723,10603,1.4209,301.37,-10.25,-7.51,0
0.11492,508.57,-10.377,9634.5,1.4859,292.22,-10.5,-7.51,0
0.17151,445.53,-112.04,15702,1.3515,307.33,-10.75,-7.5099,0
1.142,252.59,-253.32,1.297e+05,1.0069,364.18,-11.006,-7.5085,0
2.1404,112.88,-278.36,2.4778e+05,0.74628,403.25,-11.121,-7.2295,0
2.2642,93.559,-243.36,2.6402e+05,0.64543,406.18,-11.229,-6.9535,0
2.3323,82.654,-224.92,2.7486e+05,0.59005,410.52,-11.332,-6.676,0
2.3863,73.419,-210.26,2.8375e+05,0.54591,414.22,-11.431,-6.3968,0
2.4297,65.852,-197.68,2.9095e+05,0.50893,417.14,-11.526,-6.1162,0
2.4681,58.788,-186.2,2.9737e+05,0.47546,419.72,-11.617,-5.8342,0
2.5029,52.321,-175.29,3.0319e+05,0.44424,422,-11.704,-5.5509,0
2.5326,46.718,-164.95,3.082e+05,0.41537,423.94,-11.786,-5.2663,0
2.5599,41.326,-155.04,3.1286e+05,0.38794,425.76,-11.864,-4.9804,0
2.5853,36.361,-145.43,3.1718e+05,0.36173,427.4,-11.937,-4.6934,0
2.6073,32.047,-136.13,3.2095e+05,0.3369,428.83,-12.006,-4.4053,0
2.6277,27.824,-126.84,3.245e+05,0.31233,430.2,-12.071,-4.1163,0
2.6467,23.921,-117.63,3.2779e+05,0.2883,431.45,-12.131,-3.8262,0
2.6634,20.57,-108.68,3.3067e+05,0.26533,432.52,-12.187,-3.5353,0
2.6782,17.315,-99.659,3.3333e+05,0.24234,433.59,-12.238,-3.2436,0
2.6921,14.175,-90.472,3.3585e+05,0.21914,434.6,-12.285,-2.9511,0
2.7052,11.52,-81.471,3.3809e+05,0.19672,435.38,-12.328,-2.6579,0
2.7164,9.3128,-72.673,3.4001e+05,0.17503,436.05,-12.366,-2.3641,0
2.7261,7.2563,-63.865,3.4174e+05,0.15344,436.71,-12.4,-2.0698,0
2.7345,5.4546,-55.01,3.4326e+05,0.13187,437.3,-12.429,-1.775,0
2.7415,3.9422,-46.117,3.4454e+05,0.11035,437.81,-12.454,-1.4798,0
2.7472,2.6884,-37.193,3.4561e+05,0.088859,438.26,-12.474,-1.1842,0
2.7515,1.7209,-28.23,3.4645e+05,0.067365,438.64,-12.49,-0.88843,0
2.7542,1.0117,-19.227,3.4708e+05,0.045841,439,-12.501,-0.5924,0
2.7547,0.59125,-10.177,3.4747e+05,0.024264,439.43,-12.508,-0.29623,0
2.7656,0.43319,-1.062,3.4767e+05,0.010963,437.96,-12.51,0,0
2.7734,0.56499,8.1029,3.476e+05,0.019395,436.63,-12.508,0.29623,0
2.7675,0.95524,17.244,3.4723e+05,0.041207,437.08,-12.501,0.5924,0
2.7628,1.6378,26.325,3.4664e+05,0.062936,437.08,-12.49,0.88843,0
2.7575,2.5807,35.363,3.4583e+05,0.084621,436.91,-12.474,1.1842,0
2.7511,3.8122,44.361,3.448e+05,0.1063,436.62,-12.454,1.4798,0
2.7435,5.3042,53.325,3.4354e+05,0.12799,436.22,-12.429,1.775,0
2.7347,7.0875,62.252,3.4205e+05,0.14974,435.72,-12.4,2.0698,0
2.7248,9.1277,71.131,3.4033e+05,0.1715,435.13,-12.366,2.3641,0
2.7133,11.323,79.998,3.3842e+05,0.19336,434.52,-12.328,2.6579,0
2.7,13.965,89.07,3.362e+05,0.21595,433.78,-12.285,2.9511,0
2.6858,17.094,98.332,3.337e+05,0.23932,432.82,-12.238,3.2436,0
2.6708,20.341,107.43,3.3104e+05,0.26249,431.8,-12.187,3.5353,0
2.6539,23.688,116.45,3.2816e+05,0.28562,430.76,-12.131,3.8262,0
2.6347,27.586,125.73,3.2486e+05,0.30983,429.54,-12.071,4.1163,0
2.6141,31.807,135.08,3.2131e+05,0.33456,428.2,-12.006,4.4053,0
2.5918,36.122,144.45,3.1753e+05,0.35955,426.79,-11.937,4.6934,0
2.5663,41.089,154.13,3.1321e+05,0.38592,425.17,-11.864,4.9804,0
2.5387,46.485,164.11,3.0853e+05,0.41353,423.37,-11.786,5.2663,0
2.5087,52.096,174.52,3.035e+05,0.44257,421.44,-11.704,5.5509,0
2.4737,58.571,185.49,2.9766e+05,0.47398,419.18,-11.617,5.8342,0
2.435,65.648,197.05,2.9121e+05,0.50764,416.61,-11.526,6.1162,0
2.3912,73.234,209.71,2.8397e+05,0.54485,413.69,-11.431,6.3968,0
